2026-07-01 22:25:51.183 | INFO     | app.orchestrator.video_pipeline:run:19 - Starting Video Pipeline
2026-07-01 22:25:51.183 | INFO     | app.orchestrator.video_pipeline:run:23 - Executing DownloadAgent
2026-07-01 22:25:51.183 | INFO     | app.agents.base_agent:log_start:37 - [DownloadAgent] Started
2026-07-01 22:25:51.183 | INFO     | app.agents.download_agent:execute:24 - Downloading video: https://www.youtube.com/watch?v=aYIq2efHS94
2026-07-01 22:28:44.664 | INFO     | app.orchestrator.video_pipeline:run:19 - Starting Video Pipeline
2026-07-01 22:28:44.665 | INFO     | app.orchestrator.video_pipeline:run:23 - Executing DownloadAgent
2026-07-01 22:28:44.665 | INFO     | app.agents.base_agent:log_start:37 - [DownloadAgent] Started
2026-07-01 22:28:44.665 | INFO     | app.agents.download_agent:execute:24 - Downloading video: https://www.youtube.com/watch?v=aYIq2efHS94
2026-07-01 22:28:46.484 | INFO     | app.agents.download_agent:execute:57 - Downloaded video: downloads/Unko Bhi Humse Mohabbat Ho Jaruri To Nahi (Cover) ｜ Soulful Ghazal.mp4
2026-07-01 22:28:46.484 | SUCCESS  | app.agents.base_agent:success:18 - [DownloadAgent] Completed
2026-07-01 22:28:46.734 | INFO     | app.orchestrator.video_pipeline:run:23 - Executing TranscriptionAgent
2026-07-01 22:28:55.914 | SUCCESS  | app.agents.base_agent:success:18 - [TranscriptionAgent] Completed
2026-07-01 22:28:55.915 | SUCCESS  | app.orchestrator.video_pipeline:run:37 - Video Pipeline Completed
2026-07-01 22:32:39.852 | INFO     | app.orchestrator.video_pipeline:run:19 - Starting Video Pipeline
2026-07-01 22:32:39.852 | INFO     | app.orchestrator.video_pipeline:run:23 - Executing DownloadAgent
2026-07-01 22:32:39.852 | INFO     | app.agents.base_agent:log_start:37 - [DownloadAgent] Started
2026-07-01 22:32:39.852 | INFO     | app.agents.download_agent:execute:24 - Downloading video: https://www.youtube.com/watch?v=aYIq2efHS94
2026-07-01 22:32:41.446 | INFO     | app.agents.download_agent:execute:57 - Downloaded video: downloads/Unko Bhi Humse Mohabbat Ho Jaruri To Nahi (Cover) ｜ Soulful Ghazal.mp4
2026-07-01 22:32:41.446 | SUCCESS  | app.agents.base_agent:success:18 - [DownloadAgent] Completed
2026-07-01 22:32:41.447 | INFO     | app.orchestrator.video_pipeline:run:23 - Executing TranscriptionAgent
2026-07-01 22:32:52.777 | SUCCESS  | app.agents.base_agent:success:18 - [TranscriptionAgent] Completed
2026-07-01 22:32:52.778 | SUCCESS  | app.orchestrator.video_pipeline:run:37 - Video Pipeline Completed
2026-07-01 22:59:39.104 | INFO     | app.orchestrator.video_pipeline:run:21 - Starting Video Pipeline
2026-07-01 22:59:39.105 | INFO     | app.orchestrator.video_pipeline:run:25 - Executing DownloadAgent
2026-07-01 22:59:39.105 | INFO     | app.agents.base_agent:log_start:37 - [DownloadAgent] Started
2026-07-01 22:59:39.105 | INFO     | app.agents.download_agent:execute:24 - Downloading video: https://www.youtube.com/watch?v=aYIq2efHS94
2026-07-01 22:59:41.118 | INFO     | app.agents.download_agent:execute:57 - Downloaded video: downloads/Unko Bhi Humse Mohabbat Ho Jaruri To Nahi (Cover) ｜ Soulful Ghazal.mp4
2026-07-01 22:59:41.119 | SUCCESS  | app.agents.base_agent:success:18 - [DownloadAgent] Completed
2026-07-01 22:59:41.119 | INFO     | app.orchestrator.video_pipeline:run:25 - Executing TranscriptionAgent
2026-07-01 23:01:12.640 | INFO     | app.orchestrator.video_pipeline:run:21 - Starting Video Pipeline
2026-07-01 23:01:12.640 | INFO     | app.orchestrator.video_pipeline:run:25 - Executing DownloadAgent
2026-07-01 23:01:12.640 | INFO     | app.agents.base_agent:log_start:37 - [DownloadAgent] Started
2026-07-01 23:01:12.640 | INFO     | app.agents.download_agent:execute:24 - Downloading video: https://www.youtube.com/watch?v=aYIq2efHS94
2026-07-01 23:01:14.725 | INFO     | app.agents.download_agent:execute:57 - Downloaded video: downloads/Unko Bhi Humse Mohabbat Ho Jaruri To Nahi (Cover) ｜ Soulful Ghazal.mp4
2026-07-01 23:01:14.725 | SUCCESS  | app.agents.base_agent:success:18 - [DownloadAgent] Completed
2026-07-01 23:01:14.725 | INFO     | app.orchestrator.video_pipeline:run:25 - Executing TranscriptionAgent
2026-07-01 23:01:24.052 | SUCCESS  | app.agents.base_agent:success:18 - [TranscriptionAgent] Completed
2026-07-01 23:01:24.054 | INFO     | app.orchestrator.video_pipeline:run:25 - Executing SubtitleAgent
2026-07-01 23:03:28.515 | INFO     | app.orchestrator.video_pipeline:run:21 - Starting Video Pipeline
2026-07-01 23:03:28.516 | INFO     | app.orchestrator.video_pipeline:run:25 - Executing DownloadAgent
2026-07-01 23:03:28.516 | INFO     | app.agents.base_agent:log_start:37 - [DownloadAgent] Started
2026-07-01 23:03:28.516 | INFO     | app.agents.download_agent:execute:24 - Downloading video: https://www.youtube.com/watch?v=aYIq2efHS94
2026-07-01 23:03:30.046 | INFO     | app.agents.download_agent:execute:57 - Downloaded video: downloads/Unko Bhi Humse Mohabbat Ho Jaruri To Nahi (Cover) ｜ Soulful Ghazal.mp4
2026-07-01 23:03:30.046 | SUCCESS  | app.agents.base_agent:success:18 - [DownloadAgent] Completed
2026-07-01 23:03:30.046 | INFO     | app.orchestrator.video_pipeline:run:25 - Executing TranscriptionAgent
2026-07-01 23:03:38.856 | SUCCESS  | app.agents.base_agent:success:18 - [TranscriptionAgent] Completed
2026-07-01 23:03:38.857 | INFO     | app.orchestrator.video_pipeline:run:25 - Executing SubtitleAgent
2026-07-01 23:04:02.048 | SUCCESS  | app.agents.base_agent:success:18 - [SubtitleAgent] Completed
2026-07-01 23:04:02.050 | SUCCESS  | app.orchestrator.video_pipeline:run:39 - Video Pipeline Completed
2026-07-01 23:13:44.316 | INFO     | app.orchestrator.video_pipeline:run:21 - Starting Video Pipeline
2026-07-01 23:13:44.317 | INFO     | app.orchestrator.video_pipeline:run:25 - Executing DownloadAgent
2026-07-01 23:13:44.317 | INFO     | app.agents.base_agent:log_start:37 - [DownloadAgent] Started
2026-07-01 23:13:44.317 | INFO     | app.agents.download_agent:execute:24 - Downloading video: https://www.youtube.com/watch?v=aYIq2efHS94
2026-07-01 23:13:45.818 | INFO     | app.agents.download_agent:execute:57 - Downloaded video: downloads/Unko Bhi Humse Mohabbat Ho Jaruri To Nahi (Cover) ｜ Soulful Ghazal.mp4
2026-07-01 23:13:45.819 | SUCCESS  | app.agents.base_agent:success:18 - [DownloadAgent] Completed
2026-07-01 23:13:45.819 | INFO     | app.orchestrator.video_pipeline:run:25 - Executing TranscriptionAgent
2026-07-01 23:13:55.812 | SUCCESS  | app.agents.base_agent:success:18 - [TranscriptionAgent] Completed
2026-07-01 23:13:55.813 | INFO     | app.orchestrator.video_pipeline:run:25 - Executing SubtitleAgent
2026-07-01 23:15:20.274 | SUCCESS  | app.agents.base_agent:success:18 - [SubtitleAgent] Completed
2026-07-01 23:15:20.275 | SUCCESS  | app.orchestrator.video_pipeline:run:39 - Video Pipeline Completed
2026-07-01 23:23:08.208 | INFO     | app.orchestrator.video_pipeline:run:21 - Starting Video Pipeline
2026-07-01 23:23:08.209 | INFO     | app.orchestrator.video_pipeline:run:25 - Executing DownloadAgent
2026-07-01 23:23:08.209 | INFO     | app.agents.base_agent:log_start:37 - [DownloadAgent] Started
2026-07-01 23:23:08.209 | INFO     | app.agents.download_agent:execute:24 - Downloading video: https://www.youtube.com/watch?v=aYIq2efHS94
2026-07-01 23:23:09.913 | INFO     | app.agents.download_agent:execute:57 - Downloaded video: downloads/Unko Bhi Humse Mohabbat Ho Jaruri To Nahi (Cover) ｜ Soulful Ghazal.mp4
2026-07-01 23:23:09.913 | SUCCESS  | app.agents.base_agent:success:18 - [DownloadAgent] Completed
2026-07-01 23:23:09.914 | INFO     | app.orchestrator.video_pipeline:run:25 - Executing TranscriptionAgent
2026-07-01 23:24:27.299 | INFO     | app.orchestrator.video_pipeline:run:21 - Starting Video Pipeline
2026-07-01 23:24:27.300 | INFO     | app.orchestrator.video_pipeline:run:25 - Executing DownloadAgent
2026-07-01 23:24:27.300 | INFO     | app.agents.base_agent:log_start:37 - [DownloadAgent] Started
2026-07-01 23:24:27.300 | INFO     | app.agents.download_agent:execute:24 - Downloading video: https://www.youtube.com/watch?v=aYIq2efHS94
2026-07-01 23:24:29.079 | INFO     | app.agents.download_agent:execute:57 - Downloaded video: downloads/Unko Bhi Humse Mohabbat Ho Jaruri To Nahi (Cover) ｜ Soulful Ghazal.mp4
2026-07-01 23:24:29.079 | SUCCESS  | app.agents.base_agent:success:18 - [DownloadAgent] Completed
2026-07-01 23:24:29.079 | INFO     | app.orchestrator.video_pipeline:run:25 - Executing TranscriptionAgent
2026-07-01 23:24:39.534 | SUCCESS  | app.agents.base_agent:success:18 - [TranscriptionAgent] Completed
